Hora,Azimut (°),Elevación (°),Roll (°),Pitch (°)
06:25,107.02580541520881,0.0244575060816955,-89.97442146294736,-17.025803816719087
06:30,107.02062361589454,1.052876153663481,-88.89890645384381,-17.017662304160545
06:35,107.02307503214001,2.143311751694848,-87.7585783688124,-17.01080297419743
06:40,107.03317187208071,3.273017304643698,-86.57717548932814,-17.004541289130714
06:45,107.05094272835703,4.4249137521075665,-85.3725084634822,-16.99857079833648
06:50,107.0764327189946,5.589763704989455,-84.15418649084998,-16.992756979498825
06:55,107.10970373812545,6.7625579918234235,-82.92739619943934,-16.987036924237575
07:00,107.15083477199695,7.940435357001533,-81.69507710661905,-16.981379309739673
07:05,107.19992229315253,9.121664046256248,-80.45898652117683,-16.975767839602625
07:10,107.25708076399414,10.305137304954222,-79.22022697280633,-16.970193885269193
07:15,107.32244325039247,11.490111813497853,-77.97951956136538,-16.9646529769953
07:20,107.39616210719629,12.676064597291472,-76.73735339185774,-16.95914302218157
07:25,107.47840974575662,13.862610979488522,-75.4940711580037,-16.953663348705476
07:30,107.56937962433547,15.049457066869246,-74.24991859324487,-16.94821416006087
07:35,107.66928719969812,16.236368352950436,-73.00507705472445,-16.94279622260924
07:40,107.77837118549492,17.42315151887009,-71.75968228142334,-16.937410667782387
07:45,107.89689483798745,18.609641159714382,-70.51383798437553,-16.9320588705982
07:50,108.02514739751855,19.795690738932443,-69.2676249926329,-16.92674237239835
07:55,108.16344576027868,20.98116676905578,-68.02110699686642,-16.92146282568846
08:00,108.3121363558023,22.165944690128907,-66.77433448656294,-16.916221957108558
08:05,108.47159715955522,23.3499052358601,-65.52734814725586,-16.911021543486996
08:10,108.64223989211068,24.532931398764703,-64.28018159696454,-16.905863395075986
08:15,108.82451269622301,25.714907501580786,-63.03286186459612,-16.900749338076682
08:20,109.0189027536997,26.895716232294706,-61.78541196989699,-16.895681209475985
08:25,109.22593956586574,28.075238298305276,-60.53785068912366,-16.890660846008235
08:30,109.44619834083363,29.25335063565829,-59.29019378507284,-16.88569007908952
08:35,109.68030376913848,30.429924874202726,-58.04245490115887,-16.880770732276495
08:40,109.92893433775251,31.604826471820886,-56.79464567018198,-16.875904615527553
08:45,110.19282714574862,32.7779138533133,-55.546775726609376,-16.871093521478688
08:50,110.47278312407417,33.94903688730958,-54.298853320196294,-16.866339224219356
08:55,110.76967278553516,35.1180351500535,-53.0508860450326,-16.861643478335186
09:00,111.08444303663511,36.28473767816178,-51.80287984785679,-16.857008013196456
09:05,111.41812414877958,37.44896025406212,-50.55484051857949,-16.85243453555282
